2024-06-13 21:29:10.776 | INFO  | restartedMain | c.e.m.MemberApplication >>>>> Starting MemberApplication using Java 17.0.9 with PID 2324 (D:\GithubProjects\SpringCloud\E-Commerce-Center\member-service-provider-10000\target\classes started by 30218 in D:\GithubProjects\SpringCloud)
2024-06-13 21:29:10.784 | INFO  | restartedMain | c.e.m.MemberApplication >>>>> No active profile set, falling back to 1 default profile: "default"
2024-06-13 21:29:10.808 | INFO  | restartedMain | o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor >>>>> Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-06-13 21:29:10.809 | INFO  | restartedMain | o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor >>>>> For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-06-13 21:29:11.629 | INFO  | restartedMain | o.s.b.w.e.t.TomcatWebServer >>>>> Tomcat initialized with port 9191 (http)
2024-06-13 21:29:11.636 | INFO  | restartedMain | o.a.c.h.Http11NioProtocol >>>>> Initializing ProtocolHandler ["http-nio-9191"]
2024-06-13 21:29:11.637 | INFO  | restartedMain | o.a.c.c.StandardService >>>>> Starting service [Tomcat]
2024-06-13 21:29:11.637 | INFO  | restartedMain | o.a.c.c.StandardEngine >>>>> Starting Servlet engine: [Apache Tomcat/10.1.16]
2024-06-13 21:29:11.669 | INFO  | restartedMain | o.a.c.c.C.[.[.[/] >>>>> Initializing Spring embedded WebApplicationContext
2024-06-13 21:29:11.669 | INFO  | restartedMain | o.s.b.w.s.c.ServletWebServerApplicationContext >>>>> Root WebApplicationContext: initialization completed in 860 ms
2024-06-13 21:29:11.743 | WARN  | restartedMain | o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext >>>>> Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'webConfig': Unsatisfied dependency expressed through field 'tokenInterceptor': No qualifying bean of type 'com.example.member.interceptor.TokenInterceptor' available: expected at least 1 bean which qualifies as autowire candidate. Dependency annotations: {@org.springframework.beans.factory.annotation.Autowired(required=true)}
2024-06-13 21:29:11.746 | INFO  | restartedMain | o.a.c.c.StandardService >>>>> Stopping service [Tomcat]
2024-06-13 21:29:11.771 | INFO  | restartedMain | o.s.b.a.l.ConditionEvaluationReportLogger >>>>> 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2024-06-13 21:29:11.782 | ERROR | restartedMain | o.s.b.d.LoggingFailureAnalysisReporter >>>>> 

***************************
APPLICATION FAILED TO START
***************************

Description:

Field tokenInterceptor in com.example.member.config.WebConfig required a bean of type 'com.example.member.interceptor.TokenInterceptor' that could not be found.

The injection point has the following annotations:
	- @org.springframework.beans.factory.annotation.Autowired(required=true)


Action:

Consider defining a bean of type 'com.example.member.interceptor.TokenInterceptor' in your configuration.

2024-06-13 21:29:26.205 | INFO  | restartedMain | c.e.m.MemberApplication >>>>> Starting MemberApplication using Java 17.0.9 with PID 10316 (D:\GithubProjects\SpringCloud\E-Commerce-Center\member-service-provider-10000\target\classes started by 30218 in D:\GithubProjects\SpringCloud)
2024-06-13 21:29:26.210 | INFO  | restartedMain | c.e.m.MemberApplication >>>>> No active profile set, falling back to 1 default profile: "default"
2024-06-13 21:29:26.232 | INFO  | restartedMain | o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor >>>>> Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-06-13 21:29:26.232 | INFO  | restartedMain | o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor >>>>> For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-06-13 21:29:27.001 | INFO  | restartedMain | o.s.b.w.e.t.TomcatWebServer >>>>> Tomcat initialized with port 9191 (http)
2024-06-13 21:29:27.007 | INFO  | restartedMain | o.a.c.h.Http11NioProtocol >>>>> Initializing ProtocolHandler ["http-nio-9191"]
2024-06-13 21:29:27.008 | INFO  | restartedMain | o.a.c.c.StandardService >>>>> Starting service [Tomcat]
2024-06-13 21:29:27.008 | INFO  | restartedMain | o.a.c.c.StandardEngine >>>>> Starting Servlet engine: [Apache Tomcat/10.1.16]
2024-06-13 21:29:27.035 | INFO  | restartedMain | o.a.c.c.C.[.[.[/] >>>>> Initializing Spring embedded WebApplicationContext
2024-06-13 21:29:27.035 | INFO  | restartedMain | o.s.b.w.s.c.ServletWebServerApplicationContext >>>>> Root WebApplicationContext: initialization completed in 803 ms
